name,unity_price,suppliers_percentage,freight_percentage,amount_in_stock,is_active,created_at
Crackers - Trio,61.37,6.54,5.96,961,true,2020-07-06 03:08:38
Cake - Cake Sheet Macaroon,7.59,2.3,0.89,872,false,2020-12-21 13:17:06
"Coffee - Colombian, Portioned",158.62,1.97,4.68,482,false,2020-11-28 12:26:33
Calypso - Strawberry Lemonade,36.79,3.59,5.64,268,true,2021-07-15 06:42:10
"Napkin - Cocktail,beige 2 - Ply",179.59,3.23,1.33,874,false,2020-07-22 08:08:04
"Cheese - Havarti, Salsa",196.35,2.2,4.56,477,true,2020-09-06 17:45:43
Cheese - Parmesan Grated,160.93,4.94,8.48,296,true,2020-07-24 14:28:24
Lid Coffee Cup 8oz Blk,27.64,1.09,1.8,498,true,2020-05-04 20:50:57
Cheese Cloth No 60,182.17,4.0,3.33,870,false,2020-01-01 11:25:54
Tea - Apple Green Tea,141.99,9.37,7.05,680,true,2020-12-15 20:14:58
Cloves - Whole,46.43,2.18,8.93,988,false,2020-11-12 16:26:50
Vaccum Bag 10x13,21.03,6.54,1.62,76,true,2020-06-04 09:08:01
Tomatoes - Orange,181.63,7.22,3.34,750,true,2021-08-23 18:17:53
Spice - Pepper Portions,123.68,3.6,6.32,423,false,2021-06-09 23:15:21
Duck - Fat,68.21,7.37,9.11,530,true,2021-06-29 17:39:53
Coffee - Decafenated,151.4,8.71,1.91,51,false,2020-11-02 09:34:03
"Beans - Navy, Dry",11.03,4.05,1.79,282,true,2020-05-27 23:12:45
Muffin Orange Individual,75.39,2.5,8.06,634,false,2020-01-10 22:23:27
Bar Energy Chocchip,12.61,5.61,4.13,504,true,2021-01-17 03:52:04
Cup - 8oz Coffee Perforated,112.02,0.42,4.19,545,true,2020-06-13 09:27:27
Coffee Decaf Colombian,57.47,3.28,2.35,661,false,2021-01-14 20:55:45
Pectin,127.56,5.45,6.9,257,false,2020-08-17 06:32:46
"Vermacelli - Sprinkles, Assorted",158.22,4.55,4.51,134,false,2021-06-27 17:21:50
Jello - Assorted,120.41,6.08,4.98,933,false,2021-09-24 04:54:42
Creme De Menth - White,8.9,2.74,1.77,634,true,2020-09-16 04:53:27
Blueberries - Frozen,5.62,1.71,4.88,13,false,2020-09-12 12:18:00
Pizza Pizza Dough,84.54,5.67,1.55,906,false,2020-03-31 07:30:57
Paste - Black Olive,190.91,0.31,8.23,376,true,2021-08-07 14:47:02
Pheasants - Whole,116.48,5.23,9.95,334,true,2021-05-02 22:24:00
"Mushroom - Oyster, Fresh",11.24,4.52,7.33,66,true,2021-07-10 02:56:57
Guava,149.09,2.09,3.44,476,false,2021-09-06 09:41:21
Pears - Bartlett,41.58,9.75,1.94,548,false,2020-06-25 12:16:29
Wiberg Super Cure,115.34,0.98,1.31,648,true,2020-10-29 16:54:37
Dry Ice,62.79,6.49,1.64,355,true,2021-05-11 18:30:46
Pork Casing,9.34,5.33,1.16,596,true,2021-10-03 19:08:12
Dates,88.14,2.44,8.15,462,true,2020-07-05 07:24:02
Contreau,155.8,8.31,8.84,562,true,2020-05-19 22:55:40
Bread - Bistro White,30.79,2.26,4.82,466,false,2021-03-15 07:38:31
Onion - Dried,77.41,4.41,7.19,38,false,2021-03-30 02:56:03
"Coconut - Creamed, Pure",119.41,7.94,7.07,981,false,2021-10-12 13:11:16
Lettuce - Escarole,6.38,7.22,9.6,620,true,2021-01-25 22:08:33
Gatorade - Lemon Lime,100.69,8.03,2.24,925,true,2021-10-17 00:32:02
Lettuce - Boston Bib,126.99,3.65,7.35,879,true,2020-02-01 19:06:34
"Beans - Navy, Dry",166.94,6.23,5.07,14,false,2021-10-12 03:32:37
Onion - Dried,149.48,0.6,1.34,382,false,2021-02-18 03:17:13
Onions Granulated,142.0,7.99,3.53,454,false,2020-05-04 13:03:53
Rappini - Andy Boy,172.31,6.95,6.21,538,false,2020-09-24 01:39:53
Coffee - Hazelnut Cream,133.7,8.27,2.93,461,false,2021-04-03 21:21:46
Crackers - Water,29.45,1.36,7.2,196,false,2021-01-15 06:54:43
Ocean Spray - Ruby Red,32.63,7.09,1.35,942,true,2021-07-27 07:44:54
Plastic Wrap,30.04,8.51,0.6,799,false,2020-01-24 22:33:05
Spice - Pepper Portions,41.08,9.74,2.51,228,false,2020-11-02 18:56:51
Tray - 16in Rnd Blk,112.27,5.66,5.97,865,false,2021-08-08 05:10:54
Veal - Inside,105.56,9.97,4.72,632,true,2020-11-26 23:22:14
Soup - Cream Of Potato / Leek,63.65,5.67,4.71,719,false,2020-11-15 08:53:01
Nestea - Iced Tea,168.03,5.7,0.79,809,false,2020-08-21 16:19:01
Arrowroot,126.22,6.12,9.13,412,false,2020-08-20 17:01:40
Beans - Fava Fresh,153.58,4.19,3.76,963,false,2020-03-01 15:34:39
Veal - Inside,20.67,9.6,9.34,510,true,2021-03-09 10:25:14
Sage - Fresh,187.35,9.27,3.39,934,true,2020-08-11 20:03:45
Yucca,76.33,0.83,1.58,750,true,2020-01-06 16:33:45
Fuji Apples,197.4,2.6,3.85,591,true,2021-03-08 22:48:33
"Veal - Tenderloin, Untrimmed",5.21,8.75,6.23,315,true,2020-09-20 06:42:24
Persimmons,156.76,6.26,6.19,560,false,2021-09-16 06:09:37
"Crush - Orange, 355ml",43.76,8.47,9.78,465,true,2021-01-22 01:32:24
Strawberries,27.34,5.26,9.62,104,true,2020-03-29 13:55:42
Milk - 1%,174.84,9.45,0.8,182,false,2020-12-16 03:44:02
Cloves - Ground,182.11,4.08,2.87,630,true,2021-11-07 19:26:32
"Lentils - Red, Dry",115.45,2.38,4.64,800,true,2020-09-02 15:21:34
"Liners - Banana, Paper",61.07,6.98,6.08,111,false,2021-08-03 17:07:41
Transfer Sheets,186.57,9.02,8.01,300,true,2020-12-25 18:28:48
Crackers - Melba Toast,173.38,0.17,7.28,845,true,2020-05-29 04:27:24
Pork - European Side Bacon,93.3,4.58,6.06,416,false,2020-09-24 17:37:58
Carbonated Water - White Grape,154.24,7.84,9.17,436,true,2020-06-27 18:59:40
Kahlua,139.38,6.07,0.64,966,true,2020-03-16 04:28:49
"Shrimp - Baby, Warm Water",127.65,9.12,2.58,621,true,2020-02-10 06:35:37
Flower - Commercial Bronze,16.57,6.18,9.62,420,true,2020-02-04 16:15:57
Artichokes - Jerusalem,94.26,7.37,2.22,681,false,2021-07-07 01:17:10
Wine - Muscadet Sur Lie,45.46,3.96,8.6,861,false,2021-08-08 19:44:20
Honey - Lavender,24.25,2.04,7.86,417,true,2021-01-28 01:24:38
Bread - White Mini Epi,194.98,4.45,4.28,20,false,2020-08-13 04:20:42
Fiddlehead - Frozen,149.78,5.67,3.06,411,false,2021-11-18 05:41:51
Triple Sec - Mcguinness,61.82,3.38,9.62,404,true,2020-09-26 08:35:25
"Tart Shells - Sweet, 2",36.3,5.51,5.84,237,true,2021-03-10 06:59:20
Wine - Conde De Valdemar,5.54,6.71,5.15,142,true,2021-11-03 03:02:12
Vacuum Bags 12x16,96.53,0.9,6.6,758,true,2020-05-06 17:01:51
Muffin - Mix - Bran And Maple 15l,40.69,8.98,3.97,798,false,2020-02-15 15:49:58
Calypso - Strawberry Lemonade,164.11,8.63,0.54,350,false,2021-01-14 12:52:04
Isomalt,187.36,8.83,2.86,895,false,2021-04-15 22:34:51
Red Cod Fillets - 225g,76.75,8.44,1.5,681,false,2020-12-07 05:52:26
Nut - Pumpkin Seeds,156.84,6.56,9.35,279,true,2020-06-30 12:26:29
Appetizer - Asian Shrimp Roll,46.9,1.26,7.33,389,false,2020-03-24 17:23:44
Cheese - Grie Des Champ,73.36,7.82,1.8,499,true,2021-07-31 02:17:37
Pumpkin - Seed,58.55,0.75,8.1,72,false,2021-07-10 21:35:34
"Beef - Bones, Cut - Up",176.98,4.16,5.72,563,true,2020-05-21 04:49:41
Wine - Winzer Krems Gruner,32.14,1.25,1.27,806,true,2020-09-13 04:56:37
Tea - Black Currant,154.8,0.84,3.82,982,false,2021-07-22 11:42:53
Mudslide,149.26,5.6,3.95,490,true,2020-03-14 19:35:12
"Salsify, Organic",168.88,4.63,4.78,950,false,2020-05-31 08:45:15
Wine - Zinfandel California 2002,89.09,8.67,0.05,471,false,2020-07-07 17:40:24
Butter - Unsalted,52.18,4.06,5.96,534,false,2020-03-01 19:22:34
Mussels - Frozen,132.77,1.73,7.85,15,false,2021-03-11 15:27:15
Tea - Lemon Scented,144.54,2.17,6.74,310,true,2021-02-02 02:56:11
Orange - Tangerine,133.8,3.87,9.18,540,false,2020-11-26 12:04:53
Puree - Mango,169.34,6.34,2.07,767,true,2020-07-08 18:19:43
Lamb - Loin Chops,178.33,7.57,2.96,213,false,2021-06-23 05:17:44
Breadfruit,170.11,0.06,7.73,345,true,2021-01-13 05:46:08
Steel Wool S.o.s,70.7,8.87,0.38,625,true,2021-03-27 18:00:19
"Pasta - Elbows, Macaroni, Dry",97.76,9.7,2.92,838,true,2020-07-20 09:12:49
Nectarines,83.59,7.01,5.28,64,false,2021-11-17 17:55:58
Flour - So Mix Cake White,171.06,4.27,1.86,912,true,2020-09-10 14:10:57
Towel Multifold,94.0,5.33,0.87,703,false,2020-12-16 17:06:33
Butter - Salted,67.73,9.96,2.37,492,true,2020-10-01 11:20:50
Chicken Thigh - Bone Out,87.69,5.41,1.71,320,false,2021-02-23 14:41:06
Mikes Hard Lemonade,119.82,8.29,1.94,187,false,2021-03-18 08:30:45
Garlic - Peeled,58.45,0.48,1.77,331,false,2021-02-05 21:29:54
Cilantro / Coriander - Fresh,52.2,9.42,4.31,567,false,2020-08-24 20:01:55
Wine - Bouchard La Vignee Pinot,108.01,4.14,5.01,996,false,2020-02-05 21:24:03
Coffee - Irish Cream,58.79,7.36,3.71,541,true,2020-07-05 05:55:37
"Red Snapper - Fillet, Skin On",129.84,3.26,5.79,812,false,2020-12-14 12:02:37
Wine - Alicanca Vinho Verde,34.94,8.87,0.48,636,false,2021-04-11 02:24:15
"Bread - Rolls, Corn",0.63,8.93,6.09,305,true,2021-04-17 17:32:41
"Pasta - Lasagna Noodle, Frozen",38.4,8.48,4.87,800,true,2021-07-18 12:56:09
Plums - Red,171.43,7.88,8.28,837,false,2020-03-15 21:49:02
Jam - Apricot,168.04,5.05,2.88,936,true,2021-04-10 18:45:05
Sandwich Wrap,148.68,2.93,6.91,94,false,2020-07-24 17:19:53
Pie Filling - Apple,150.35,3.83,0.07,898,true,2021-11-08 03:06:55
Shrimp - 31/40,105.06,4.71,2.77,177,true,2020-12-24 18:31:31
"Pepper - Paprika, Hungarian",106.73,7.69,6.26,496,true,2020-06-25 01:27:01
Gelatine Leaves - Envelopes,76.28,9.64,5.39,168,false,2021-03-15 21:52:48
Puree - Raspberry,34.81,6.84,1.14,538,true,2021-01-09 03:44:04
Yogurt - French Vanilla,47.16,3.33,1.51,495,true,2020-07-09 21:19:19
Danishes - Mini Cheese,53.46,0.08,9.16,441,false,2020-04-07 02:05:07
Chocolate Bar - Oh Henry,100.11,2.83,7.48,235,false,2020-10-08 17:11:57
"Pasta - Fettuccine, Egg, Fresh",173.84,5.54,9.0,893,true,2020-10-02 21:28:19
Beef - Eye Of Round,51.77,6.79,3.95,791,true,2021-01-23 01:55:29
Wine - German Riesling,143.89,5.33,0.19,140,false,2020-08-24 14:58:35
Parsley Italian - Fresh,77.61,1.46,0.38,309,false,2020-10-27 00:57:36
Bok Choy - Baby,5.25,0.35,6.85,787,true,2020-04-14 20:08:31
"Wine - White, Chardonnay",45.92,4.99,1.33,869,false,2020-11-18 03:19:13
Creme De Cacao Mcguines,23.81,9.18,1.05,675,true,2021-04-03 09:49:55
Cup Translucent 9 Oz,197.02,3.28,1.57,208,true,2020-12-18 04:11:57
Cocoa Powder - Dutched,105.84,8.69,4.25,916,false,2020-09-01 21:22:11
Fennel,77.23,7.68,7.33,572,false,2021-05-17 01:48:40
Filling - Mince Meat,130.97,2.82,9.23,374,true,2020-12-15 13:26:31
Wine - Niagara Peninsula Vqa,140.58,4.54,2.82,253,false,2020-10-13 04:15:02
Bread - Sour Batard,173.33,7.78,8.38,228,true,2020-11-12 10:05:55
Asparagus - Mexican,189.56,4.19,7.59,859,false,2020-07-21 03:35:41
Wine - Clavet Saint Emilion,134.0,6.29,9.51,450,false,2020-03-31 00:27:19
Nantucket - Pomegranate Pear,140.27,6.54,5.44,792,true,2021-04-11 16:27:35
Coffee Guatemala Dark,168.67,0.63,4.57,671,true,2021-07-11 23:23:04
Kiwi,4.64,7.05,6.02,285,true,2020-03-23 19:34:01
Ice Cream - Chocolate,10.41,0.19,4.65,805,false,2021-05-29 23:09:41
"Lamb - Whole Head Off,nz",156.41,5.67,9.09,660,true,2021-02-23 00:04:19
Green Tea Refresher,134.96,6.17,2.84,815,true,2020-07-23 12:22:45
Garlic,53.94,5.31,3.15,45,false,2020-05-25 23:16:45
Cheese Cloth No 60,103.67,1.21,2.54,302,false,2020-10-31 20:01:33
Soup - Campbells Asian Noodle,99.09,6.55,2.7,283,true,2021-01-31 23:12:18
"Asparagus - White, Canned",23.86,4.96,4.0,982,true,2020-01-14 04:47:15
"Ecolab - Orange Frc, Cleaner",117.04,8.0,8.85,619,false,2020-10-02 06:50:55
Eel Fresh,9.87,6.72,0.2,255,false,2020-08-21 15:56:44
Smoked Tongue,82.05,1.62,9.26,974,true,2021-03-27 11:59:31
Pastry - Mini French Pastries,193.07,6.69,3.45,403,true,2021-11-01 05:31:02
Towel Dispenser,92.0,0.04,0.64,788,false,2021-04-09 11:55:37
Shopper Bag - S - 4,199.6,3.72,4.74,104,true,2020-04-16 02:02:19
Calypso - Lemonade,85.56,9.51,5.48,838,true,2021-10-04 23:39:38
Thyme - Fresh,95.93,0.66,9.02,959,true,2021-02-08 15:02:09
Tuna - Salad Premix,66.56,1.14,1.51,12,true,2020-09-19 13:52:17
